,Candidate,Elected,Party,Votes,Ward
861,KENNY JOHN MACLEOD,1,Ind,239.0,An Taobh Siar agus Nis
862,Malcolm Ivor MCTAGGART,0,Ind,161.0,An Taobh Siar agus Nis
863,David BLANEY,0,Ind,112.0,Barraigh Bhatarsaigh Eirisgeigh agus Uibhist a Deas
864,Ronald Joseph MACKINNON,0,Ind,89.0,Barraigh Bhatarsaigh Eirisgeigh agus Uibhist a Deas
865,Gerry MACLEOD,0,Ind,29.0,Barraigh Bhatarsaigh Eirisgeigh agus Uibhist a Deas
866,Calum MACMILLAN,1,SNP,138.0,Barraigh Bhatarsaigh Eirisgeigh agus Uibhist a Deas
867,Iain Archie MACNEIL,1,Ind,217.0,Barraigh Bhatarsaigh Eirisgeigh agus Uibhist a Deas
868,Donald MANFORD,1,SNP,531.0,Barraigh Bhatarsaigh Eirisgeigh agus Uibhist a Deas
869,DONNIE STEELE,0,Ind,110.0,Barraigh Bhatarsaigh Eirisgeigh agus Uibhist a Deas
870,PAUL FRANCIS STEELE,1,Ind,161.0,Barraigh Bhatarsaigh Eirisgeigh agus Uibhist a Deas
871,Neil Macdonald BEATON,0,Ind,71.0,Beinn na Foghla agus Uibhist a Tuath
872,Ken MACBRAYNE,0,Con,51.0,Beinn na Foghla agus Uibhist a Tuath
873,Roddy MACKAY,1,Ind,197.0,Beinn na Foghla agus Uibhist a Tuath
874,IAIN MURDOCH MACLEOD,1,Ind,237.0,Beinn na Foghla agus Uibhist a Tuath
875,JOHN MACLEOD,0,Ind,65.0,Beinn na Foghla agus Uibhist a Tuath
876,Roslyn MACPHERSON,0,SNP,156.0,Beinn na Foghla agus Uibhist a Tuath
877,Uisdean ROBERTSON,1,Ind,355.0,Beinn na Foghla agus Uibhist a Tuath
878,Andrew WALKER,0,Ind,102.0,Beinn na Foghla agus Uibhist a Tuath
879,Donald Finlayson CRICHTON,1,Ind,590.0,Loch a Tuath
880,Ruaraidh FERGUSON,0,Ind,80.0,Loch a Tuath
881,IAIN C MACIVER,0,Ind,78.0,Loch a Tuath
882,JOHN A MACIVER,1,SNP,230.0,Loch a Tuath
883,Allan Cameron MACLACHLAN,0,Ind,74.0,Loch a Tuath
884,Calum MACLEAN,1,Ind,230.0,Loch a Tuath
885,Finlay CUNNINGHAM,1,Ind,381.0,Na Hearadh agus Ceann a Deas nan Loch
886,Paul Anthony FINNEGAN,1,Ind,189.0,Na Hearadh agus Ceann a Deas nan Loch
887,Catherine MACDONALD,0,Ind,166.0,Na Hearadh agus Ceann a Deas nan Loch
888,FIONA MACLEOD,0,SNP,47.0,Na Hearadh agus Ceann a Deas nan Loch
889,SHEENA MACLEOD,0,Ind,80.0,Na Hearadh agus Ceann a Deas nan Loch
890,DJ MACRAE,0,Ind,42.0,Na Hearadh agus Ceann a Deas nan Loch
891,John Graham MITCHELL,1,SNP,172.0,Na Hearadh agus Ceann a Deas nan Loch
892,Alex Dan SMITH,0,Ind,7.0,Na Hearadh agus Ceann a Deas nan Loch
893,Denise WILSON,0,Ind,64.0,Na Hearadh agus Ceann a Deas nan Loch
894,Ranald FRASER,1,Con,268.0,Sgir' Uige agus Ceann a Tuath nan Loch
895,Norman Alexander MACDONALD,1,Ind,271.0,Sgir' Uige agus Ceann a Tuath nan Loch
896,Donald Cudig MACLEOD,0,Ind,186.0,Sgir' Uige agus Ceann a Tuath nan Loch
897,Angus MORRISON,1,Ind,679.0,Sgir' Uige agus Ceann a Tuath nan Loch
898,DON MACDONALD,0,Con,83.0,Sgire an Rubha
899,NORRIE TOMSH MACDONALD,1,Ind,354.0,Sgire an Rubha
900,Alasdair MACLEOD,1,Ind,329.0,Sgire an Rubha
901,John Murdo MACMILLAN,0,Ind,100.0,Sgire an Rubha
902,Tony ROBSON,0,Ind,91.0,Sgire an Rubha
903,Finlay Mackenzie STEWART,1,Ind,151.0,Sgire an Rubha
904,Caroline Linda BRICK,0,Ind,76.0,Steornabhagh a Deas
905,Keith DODSON,1,Ind,156.0,Steornabhagh a Deas
906,Rae MACKENZIE,1,SNP,250.0,Steornabhagh a Deas
907,Shonnie Beag MACRITCHIE,0,Ind,77.0,Steornabhagh a Deas
908,Angus MCCORMACK,1,Ind,165.0,Steornabhagh a Deas
909,Campbell MCKENZIE,0,Ind,7.0,Steornabhagh a Deas
910,Derek MCPHERSON,0,Ind,47.0,Steornabhagh a Deas
911,Charlie NICOLSON,1,Ind,755.0,Steornabhagh a Deas
912,Iain Maclean MACAULAY,1,SNP,249.0,Steornabhagh a Tuath
913,NEIL MACKAY,1,Ind,145.0,Steornabhagh a Tuath
914,RODDIE MACKAY,1,Ind,398.0,Steornabhagh a Tuath
915,Lesley MCKENZIE,0,Ind,134.0,Steornabhagh a Tuath
916,Gordon MURRAY,1,Ind,486.0,Steornabhagh a Tuath
917,David AITCHISON,1,Lab,1106.0,Bo'ness and Blackness
918,Michael BURNETT,0,Lab,298.0,Bo'ness and Blackness
919,Mari-Ellena CORVI,0,Grn,312.0,Bo'ness and Blackness
920,Alan GILBERT,0,SNP,761.0,Bo'ness and Blackness
921,Lynn MUNRO,1,Con,1412.0,Bo'ness and Blackness
922,Ann RITCHIE,1,SNP,1510.0,Bo'ness and Blackness
923,Billy BUCHANAN,1,Ind,1134.0,Bonnybridge and Larbert
924,Tom COLEMAN,1,SNP,1898.0,Bonnybridge and Larbert
925,Linda GOW,0,Lab,884.0,Bonnybridge and Larbert
926,David GRANT,1,Con,1368.0,Bonnybridge and Larbert
927,Janine Danielle RENNIE,0,Ind,128.0,Bonnybridge and Larbert
928,David George ROBERTSON,0,Grn,216.0,Bonnybridge and Larbert
929,Safia ALI,0,Ind,141.0,Carse-Kinnaird and Tryst
930,Gary BOUSE,1,SNP,1921.0,Carse-Kinnaird and Tryst
931,Joan Margaret COOMBES,1,Lab,956.0,Carse-Kinnaird and Tryst
932,Jim FLYNN,1,Con,1968.0,Carse-Kinnaird and Tryst
933,Chris MARSH,0,Grn,291.0,Carse-Kinnaird and Tryst
934,Martin MURRAY,0,Lab,850.0,Carse-Kinnaird and Tryst
935,Laura MURTAGH,1,SNP,940.0,Carse-Kinnaird and Tryst
936,Jim BLACKWOOD,1,Lab,965.0,Denny and Banknock
937,Cheryl BRIND,0,Grn,119.0,Denny and Banknock
938,Fiona Elizabeth COLLIE,1,SNP,884.0,Denny and Banknock
939,Paul GARNER,1,SNP,1664.0,Denny and Banknock
940,Khalid HAMID,0,Lab,314.0,Denny and Banknock
941,Nigel HARRIS,1,Con,916.0,Denny and Banknock
942,Brian MCCABE,0,Ind,687.0,Denny and Banknock
943,Sean MELLON,0,Sol,19.0,Denny and Banknock
944,Anne MONTGOMERY,0,Ind,231.0,Denny and Banknock
945,Alexander John WADDELL,0,Ind,522.0,Denny and Banknock
946,David ALEXANDER,1,SNP,2326.0,Falkirk North
947,Robert BISSETT,1,Lab,841.0,Falkirk North
948,Wendy CHANDRACHUD,0,Con,916.0,Falkirk North
949,Dennis GOLDIE,1,Lab,1118.0,Falkirk North
950,Cecil MEIKLEJOHN,1,SNP,1060.0,Falkirk North
951,Debra PICKERING,0,Grn,231.0,Falkirk North
952,Lorna Catherine BINNIE,1,SNP,2216.0,Falkirk South
953,Donnie BUCHANAN,0,Grn,315.0,Falkirk South
954,John PATRICK,1,Con,1993.0,Falkirk South
955,Pat REID,1,Lab,1686.0,Falkirk South
956,David BALFOUR,1,SNP,1510.0,Grangemouth
957,Allyson BLACK,1,Lab,1301.0,Grangemouth
958,James BUNDY,0,Con,1030.0,Grangemouth
959,Judith MCLAUGHLIN,0,Grn,107.0,Grangemouth
960,Margaret-Anne MILNE,0,SNP,676.0,Grangemouth
961,Robert SPEARS,1,Ind,980.0,Grangemouth
962,Chris BRIND,0,Grn,163.0,Lower Braes
963,Sam HEMPLE,0,Ind,98.0,Lower Braes
964,Steven JACKSON,0,Ind,285.0,Lower Braes
965,Stuart MARTIN,0,UKIP,44.0,Lower Braes
966,Adanna Bridget MCCUE,1,SNP,1632.0,Lower Braes
967,Malcolm NICOL,1,Con,1864.0,Lower Braes
968,Alan NIMMO,1,Lab,760.0,Lower Braes
969,Ricky WILSON,0,Ind,559.0,Lower Braes
970,Neil DURNING,0,Ind,183.0,Upper Braes
971,Farah FARZANA,0,SNP,835.0,Upper Braes
972,Gordon HUGHES,1,SNP,1028.0,Upper Braes
973,James KERR,1,Con,1701.0,Upper Braes
974,Tom MCLAUGHLIN,0,Grn,179.0,Upper Braes
975,John MCLUCKIE,1,Lab,1342.0,Upper Braes
976,Jim ROBERTSON,0,Ind,360.0,Upper Braes
977,Leslie BAIN,0,SNP,635.0,Buckhaven Methil & Wemyss Villages
978,Keith Henry BARTON,0,Con,507.0,Buckhaven Methil & Wemyss Villages
979,Ken CALDWELL,1,SNP,842.0,Buckhaven Methil & Wemyss Villages
980,Eunice CAMERON,0,Ind,57.0,Buckhaven Methil & Wemyss Villages
981,Stephen FERGUSON,0,Grn,78.0,Buckhaven Methil & Wemyss Villages
982,David GRAHAM,1,Lab,1661.0,Buckhaven Methil & Wemyss Villages
983,Ronald HUNTER,0,Ind,137.0,Buckhaven Methil & Wemyss Villages
984,John O'BRIEN,1,SNP,991.0,Buckhaven Methil & Wemyss Villages
985,Rory ROBERSON,0,SLD,62.0,Buckhaven Methil & Wemyss Villages
986,Ryan SMART,1,Lab,498.0,Buckhaven Methil & Wemyss Villages
987,Lesley BACKHOUSE,1,SNP,1144.0,Burntisland Kinghorn & Western Kirkcaldy
988,Peter GEORGE,0,Ind,239.0,Burntisland Kinghorn & Western Kirkcaldy
989,Gordon LANGLANDS,1,Lab,761.0,Burntisland Kinghorn & Western Kirkcaldy
990,KATHLEEN LESLIE,1,Con,1479.0,Burntisland Kinghorn & Western Kirkcaldy
991,SUSAN LESLIE,0,SLD,769.0,Burntisland Kinghorn & Western Kirkcaldy
992,Roy William MACKIE,0,Ind,475.0,Burntisland Kinghorn & Western Kirkcaldy
993,Stuart MACPHAIL,0,SNP,429.0,Burntisland Kinghorn & Western Kirkcaldy
994,Bill MAIR,0,Sol,36.0,Burntisland Kinghorn & Western Kirkcaldy
995,Scott RUTHERFORD,0,Grn,314.0,Burntisland Kinghorn & Western Kirkcaldy
996,Fiona SWORD,0,Lab,242.0,Burntisland Kinghorn & Western Kirkcaldy
997,ALISTAIR BAIN,1,SNP,1415.0,Cowdenbeath
998,ANN BAIN,0,SNP,799.0,Cowdenbeath
999,Alex CAMPBELL,1,Lab,2065.0,Cowdenbeath
1000,Angela DIXON,0,Grn,150.0,Cowdenbeath
1001,Gary GUICHAN,1,Lab,1030.0,Cowdenbeath
1002,Elizabeth RICHES,0,SLD,101.0,Cowdenbeath
1003,Darren WATT,1,Con,1013.0,Cowdenbeath
1004,Jenny COLLINS,0,Grn,275.0,Cupar
1005,Margaret KENNEDY,1,SLD,2401.0,Cupar
1006,Karen Alison MARJORAM,1,SNP,1064.0,Cupar
1007,Helen MARTIN,0,Lab,234.0,Cupar
1008,Tony MIKLINSKI,1,Con,1561.0,Cupar
1009,Steven Mitchell SIMPSON,0,SNP,359.0,Cupar
1010,Alan CRAIG,1,Con,1768.0,Dunfermline Central
1011,Garry HALDANE,1,Lab,832.0,Dunfermline Central
1012,Jean HALL MUIR,1,SNP,1359.0,Dunfermline Central
1013,Neale HANVEY,0,SNP,821.0,Dunfermline Central
1014,Doug HAY,0,Ind,655.0,Dunfermline Central
1015,Deek JACKSON,0,Ind,27.0,Dunfermline Central
1016,Lauren JONES,0,SLD,509.0,Dunfermline Central
1017,Jim LEISHMAN,1,Lab,1115.0,Dunfermline Central
1018,Kerstin ROMANO,0,Grn,238.0,Dunfermline Central
1019,Michael BOYD,0,Lab,752.0,Dunfermline North
1020,Gavin ELLIS,1,Con,1264.0,Dunfermline North
1021,Ian FERGUSON,1,SNP,1186.0,Dunfermline North
1022,Fiona Elizabeth FISHER,0,SNP,662.0,Dunfermline North
1023,Mags HALL,0,Grn,203.0,Dunfermline North
1024,Bryn JONES,0,SLD,458.0,Dunfermline North
1025,Helen LAW,1,Lab,863.0,Dunfermline North
1026,James CALDER,1,SLD,1224.0,Dunfermline South
1027,Michael COLLIE,0,Grn,245.0,Dunfermline South
1028,Brian John GOODALL,0,SNP,1128.0,Dunfermline South
1029,Ross PATERSON,1,Lab,1086.0,Dunfermline South
1030,Billy POLLOCK,0,Lab,521.0,Dunfermline South
1031,David ROSS,1,Con,1660.0,Dunfermline South
1032,Fay SINCLAIR,1,SNP,1302.0,Dunfermline South
1033,Benjamin BRIDGMAN,0,Grn,222.0,East Neuk & Landward
1034,John DOCHERTY,1,SNP,703.0,East Neuk & Landward
1035,Rosalind GARTON,0,Lab,242.0,East Neuk & Landward
1036,Alisdair GILBERT,0,SLD,891.0,East Neuk & Landward
1037,Margaret HARPER,0,SNP,634.0,East Neuk & Landward
1038,Linda HOLT,1,Con,1508.0,East Neuk & Landward
1039,Bill PORTEOUS,1,SLD,1014.0,East Neuk & Landward
1040,Ian CRICHTON,0,Ind,151.0,Glenrothes Central & Thornton
1041,Jane KERR,0,SLD,128.0,Glenrothes Central & Thornton
1042,Glen MCGILL,0,Grn,117.0,Glenrothes Central & Thornton
1043,Brian MILLS,0,Con,716.0,Glenrothes Central & Thornton
1044,Derek NOBLE,1,Lab,750.0,Glenrothes Central & Thornton
1045,Ian ROBERTSON,0,Ind,88.0,Glenrothes Central & Thornton
1046,Ian SLOAN,0,Lab,663.0,Glenrothes Central & Thornton
1047,Bert THOMSON,0,Ind,71.0,Glenrothes Central & Thornton
1048,Ross VETTRAINO,1,SNP,1362.0,Glenrothes Central & Thornton
1049,Vikki WILTON,1,SNP,799.0,Glenrothes Central & Thornton
1050,John BEARE,1,SNP,1123.0,Glenrothes North Leslie & Markinch
1051,Jamie DONALDSON,0,NFMU,249.0,Glenrothes North Leslie & Markinch
1052,Fiona GRANT,1,SNP,1704.0,Glenrothes North Leslie & Markinch
1053,Michael GREEN,1,Con,1508.0,Glenrothes North Leslie & Markinch
1054,Kate LEGG,0,SLD,204.0,Glenrothes North Leslie & Markinch
1055,Kyle MACKIE,0,Ind,81.0,Glenrothes North Leslie & Markinch
1056,Lorna ROSS,0,Grn,232.0,Glenrothes North Leslie & Markinch
1057,JAN WINCOTT,1,Lab,949.0,Glenrothes North Leslie & Markinch
1058,JOHN WINCOTT,0,Lab,514.0,Glenrothes North Leslie & Markinch
1059,Bill BROWN,0,Ind,460.0,Glenrothes West & Kinglassie
1060,Lewis Alan CAMPBELL,0,Grn,87.0,Glenrothes West & Kinglassie
1061,Altany CRAIK,1,Lab,1252.0,Glenrothes West & Kinglassie
1062,David CROLL,0,Con,723.0,Glenrothes West & Kinglassie
1063,Julie FORD,1,SNP,1442.0,Glenrothes West & Kinglassie
1064,Martin GREEN,0,UKIP,63.0,Glenrothes West & Kinglassie
1065,Derek PRESTON,0,SLD,86.0,Glenrothes West & Kinglassie
1066,Craig WALKER,1,SNP,659.0,Glenrothes West & Kinglassie
1067,Jane FREER,0,Ind,112.0,Howe Of Fife & Tay Coast
1068,Rosie GRANT,0,Grn,335.0,Howe Of Fife & Tay Coast
1069,Andy HEER,1,Con,1413.0,Howe Of Fife & Tay Coast
1070,Violeta ILENDO,0,SNP,695.0,Howe Of Fife & Tay Coast
1071,Donald LOTHIAN,1,SLD,2156.0,Howe Of Fife & Tay Coast
1072,David MACDIARMID,1,SNP,1002.0,Howe Of Fife & Tay Coast
1073,Joshua OSBORNE,0,Lab,226.0,Howe Of Fife & Tay Coast
1074,David John BARRATT,1,SNP,1165.0,Inverkeithing & Dalgety Bay
1075,Helen CANNON-TODD,0,Ind,564.0,Inverkeithing & Dalgety Bay
1076,Dave DEMPSEY,1,Con,2841.0,Inverkeithing & Dalgety Bay
1077,David John HANSEN,0,Grn,271.0,Inverkeithing & Dalgety Bay
1078,Callum HAWTHORNE,0,SLD,388.0,Inverkeithing & Dalgety Bay
1079,Lesley LAIRD,1,Lab,1305.0,Inverkeithing & Dalgety Bay
1080,Alice MCGARRY,1,SNP,1229.0,Inverkeithing & Dalgety Bay
1081,Alistair CAMERON,1,Lab,898.0,Kirkcaldy Central
1082,Tricia DAKERS,0,SLD,138.0,Kirkcaldy Central
1083,Judy HAMILTON,1,Lab,845.0,Kirkcaldy Central
1084,Zoe HISBENT,1,SNP,1138.0,Kirkcaldy Central
1085,Cairinne MACDONALD,0,Grn,223.0,Kirkcaldy Central
1086,Calum PAUL,0,SLP,16.0,Kirkcaldy Central
1087,Daniel PENMAN,0,Ind,145.0,Kirkcaldy Central
1088,Dorothy ROSS,0,Con,865.0,Kirkcaldy Central
1089,Maciej WICZYNSKI,0,SNP,610.0,Kirkcaldy Central
1090,IAN JOHN CAMERON,1,Lab,985.0,Kirkcaldy East
1091,MHAIRI CAITLIN CAMERON,0,Lab,199.0,Kirkcaldy East
1092,Rod CAVANAGH,1,SNP,897.0,Kirkcaldy East
1093,Sandy FORBES,0,Grn,164.0,Kirkcaldy East
1094,Steve MCMAHON,0,SNP,533.0,Kirkcaldy East
1095,Marie PENMAN,0,Ind,421.0,Kirkcaldy East
1096,Matthew RITCHIE,0,Ind,108.0,Kirkcaldy East
1097,Stephen William ROTTGER,0,SLD,75.0,Kirkcaldy East
1098,Richard WATT,1,Con,611.0,Kirkcaldy East
1099,Neil CROOKS,1,Lab,1486.0,Kirkcaldy North
1100,Harald GAVIN,0,SLD,129.0,Kirkcaldy North
1101,Jane GLEN,0,SNP,570.0,Kirkcaldy North
1102,Susan Natalie JEYNES,0,Grn,149.0,Kirkcaldy North
1103,James LESLIE,0,Con,896.0,Kirkcaldy North
1104,Carol LINDSAY,1,SNP,1076.0,Kirkcaldy North
1105,David ROSS,1,Lab,757.0,Kirkcaldy North
1106,Thomas ADAMS,0,Lab,872.0,Leven Kennoway & Largo
1107,David ALEXANDER,1,SNP,1506.0,Leven Kennoway & Largo
1108,Colin DAVIDSON,1,Lab,885.0,Leven Kennoway & Largo
1109,Craig DUNCAN,0,Sol,25.0,Leven Kennoway & Largo
1110,Iain MORRICE,0,Grn,115.0,Leven Kennoway & Largo
1111,Graham RITCHIE,1,Con,1339.0,Leven Kennoway & Largo
1112,Alistair SUTTIE,1,SNP,1002.0,Leven Kennoway & Largo
1113,Steve WOOD,0,SLD,625.0,Leven Kennoway & Largo
1114,Mary BAIN LOCKHART,1,Lab,1257.0,Lochgelly Cardenden & Benarty
1115,Scott Gilbert CAMPBELL,0,Con,497.0,Lochgelly Cardenden & Benarty
1116,Linda ERSKINE,1,Lab,1033.0,Lochgelly Cardenden & Benarty
1117,James GLEN,0,Ind,263.0,Lochgelly Cardenden & Benarty
1118,Rosemary LIEWALD,1,SNP,990.0,Lochgelly Cardenden & Benarty
1119,Ronnie MACKIE,0,Grn,70.0,Lochgelly Cardenden & Benarty
1120,Lea MCLELLAND,1,SNP,994.0,Lochgelly Cardenden & Benarty
1121,Wendy CHAMBERLAIN,0,SLD,377.0,Rosyth
1122,Steven LECKIE,0,Ind,156.0,Rosyth
1123,Alastair MACINTYRE,0,Ind,89.0,Rosyth
1124,Fiona MCOWAN,0,Grn,147.0,Rosyth
1125,Tony ORTON,1,Con,1136.0,Rosyth
1126,Mike SHIRKIE,0,Ind,402.0,Rosyth
1127,Samantha STEELE,1,SNP,1118.0,Rosyth
1128,Andrew VERRECCHIA,1,Lab,932.0,Rosyth
1129,Sharon WILSON,0,SNP,742.0,Rosyth
1130,Andy COLLINS,0,Grn,283.0,St. Andrews
1131,Clare FISHER,0,Ind,62.0,St. Andrews
1132,Jane Ann LISTON,1,SLD,1083.0,St. Andrews
1133,Mariam MAHMOOD,0,SLD,451.0,St. Andrews
1134,Christopher MCKINLAY,0,Ind,73.0,St. Andrews
1135,Dorothea MORRISON,0,Ind,496.0,St. Andrews
1136,Dominic NOLAN,1,Con,1007.0,St. Andrews
1137,Brian THOMSON,1,Lab,640.0,St. Andrews
1138,Colin VEITCH,0,SNP,404.0,St. Andrews
1139,Ann VERNER,1,SNP,528.0,St. Andrews
1140,Tim BRETT,1,SLD,2270.0,Tay Bridgehead
1141,Bill CONNOR,1,SNP,1197.0,Tay Bridgehead
1142,Fergus COOK,0,Grn,247.0,Tay Bridgehead
1143,Robert DRYSDALE,0,Con,1079.0,Tay Bridgehead
1144,Derek GRAY,0,SNP,642.0,Tay Bridgehead
1145,Jane O'NEILL,0,Lab,340.0,Tay Bridgehead
1146,Jonny TEPP,1,SLD,657.0,Tay Bridgehead
1147,Aude BOUBAKER-CALDER,0,SLD,360.0,West Fife & Coastal Villages
1148,Bobby CLELLAND,1,Lab,1682.0,West Fife & Coastal Villages
1149,Suzanne DAVIES,0,Lab,538.0,West Fife & Coastal Villages
1150,Willie GAVIN,0,SNP,990.0,West Fife & Coastal Villages
1151,Martin KEATINGS,0,Ind,220.0,West Fife & Coastal Villages
1152,Mino MANEKSHAW,1,Con,1186.0,West Fife & Coastal Villages
1153,Kate STEWART,1,SNP,1084.0,West Fife & Coastal Villages
1154,Jeroen VAN LEEUWEN,0,Grn,151.0,West Fife & Coastal Villages
1155,Eva BOLANDER,1,SNP,1591.0,Anderston-City-Yorkhill
1156,Philip BRAAT,1,Lab,1328.0,Anderston-City-Yorkhill
1157,Gerry CREECHAN,0,Ind,55.0,Anderston-City-Yorkhill
1158,Faten HAMEED,0,Lab,385.0,Anderston-City-Yorkhill
1159,James HARRISON,0,SLD,151.0,Anderston-City-Yorkhill
1160,Gordon KEANE,0,Ind,30.0,Anderston-City-Yorkhill
1161,Christy MEARNS,1,Grn,1101.0,Anderston-City-Yorkhill
1162,Angus MILLAR,1,SNP,775.0,Anderston-City-Yorkhill
1163,Cameron STEWART,0,Con,594.0,Anderston-City-Yorkhill
1164,Elaine BALLANTYNE,1,SNP,2263.0,Baillieston
1165,Phillip CHARLES,1,Con,1454.0,Baillieston
1166,Jim COLEMAN,1,Lab,1562.0,Baillieston
1167,Theresa KEENAN,0,Lab,436.0,Baillieston
1168,Scott MCKELVIE,0,SLP,20.0,Baillieston
1169,Liam MCLAUGHLAN,0,SSP,81.0,Baillieston
1170,Richard STALLEY,0,SLD,133.0,Baillieston
1171,David TURNER,0,SNP,827.0,Baillieston
1172,Kayleigh VAN DONGEN,0,Grn,159.0,Baillieston
1173,Robert CONNELLY,1,Con,627.0,Calton
1174,Greg HEPBURN,1,SNP,1389.0,Calton
1175,Jennifer LAYDEN,1,SNP,690.0,Calton
1176,John MACPHERSON,0,SLD,102.0,Calton
1177,Kris MCGURK,0,NFMU,150.0,Calton
1178,Lorraine MCLAREN,0,Grn,491.0,Calton
1179,Cecilia O'LONE,1,Lab,922.0,Calton
1180,Linda PIKE,0,SNP,511.0,Calton
1181,Thomas RANNACHAN,0,Lab,602.0,Calton
1182,Esme CLARK,0,Con,510.0,Canal
1183,Allan GOW,1,SNP,1727.0,Canal
1184,Gary GRAY,1,Lab,1474.0,Canal
1185,Stuart James MASKELL,0,UKIP,64.0,Canal
1186,Billy MCALLISTER,0,Ind,311.0,Canal
1187,Angela MCCORMICK,0,TUSC,62.0,Canal
1188,Jacqueline MCLAREN,1,SNP,720.0,Canal
1189,Amjad MIRZA,0,Ind,54.0,Canal
1190,Robert MOONEY,1,Lab,518.0,Canal
1191,Calum SHEPHERD,0,SLD,56.0,Canal
1192,Andrew SMITH,0,Grn,275.0,Canal
1193,Robert Mathieson BARCLAY,0,UKIP,118.0,Cardonald
1194,Matt KERR,1,Lab,1894.0,Cardonald
1195,Judy LOCKHART,0,Con,1082.0,Cardonald
1196,Elaine MCSPORRAN,1,SNP,1913.0,Cardonald
1197,Joe MURRAY,0,SNP,768.0,Cardonald
1198,Isabel NELSON,0,SLD,182.0,Cardonald
1199,Alan SHARKEY,0,Grn,233.0,Cardonald
1200,Lynn SHERIDAN,0,Sol,131.0,Cardonald
1201,Alistair WATSON,1,Lab,1607.0,Cardonald
1202,Alex WILSON,1,SNP,1333.0,Cardonald
1203,Allan CASEY,1,SNP,1324.0,Dennistoun
1204,Daniel DONALDSON,0,SLD,133.0,Dennistoun
1205,Lorna FINN,0,SNP,780.0,Dennistoun
1206,Michael KUSZNIR,0,Con,422.0,Dennistoun
1207,Kim LONG,1,Grn,1057.0,Dennistoun
1208,Elaine MCDOUGALL,1,Lab,1310.0,Dennistoun
1209,Allan STEWART,0,Lab,398.0,Dennistoun
1210,Malcolm BALFOUR,1,SNP,1842.0,Drumchapel-Anniesland
1211,Paul CAREY,1,Lab,1871.0,Drumchapel-Anniesland
1212,Bryan FREE,0,UKIP,94.0,Drumchapel-Anniesland
1213,Gary KELLY,0,Sol,35.0,Drumchapel-Anniesland
1214,Elspeth KERR,1,SNP,827.0,Drumchapel-Anniesland
1215,Patrick LOGUE,0,Con,873.0,Drumchapel-Anniesland
1216,Louisa MCGUIGAN,0,Grn,322.0,Drumchapel-Anniesland
1217,Anne MCTAGGART,1,Lab,941.0,Drumchapel-Anniesland
1218,Joe MEEHAN,0,SSP,51.0,Drumchapel-Anniesland
1219,Malcolm MITCHELL,0,SNP,678.0,Drumchapel-Anniesland
1220,Annette CHRISTIE,1,SNP,1578.0,East Centre
1221,Mark COBURN,0,SNP,696.0,East Centre
1222,Matt DOBSON,0,TUSC,80.0,East Centre
1223,Frank DOCHERTY,1,Lab,1998.0,East Centre
1224,Marie GARRITY,1,Lab,571.0,East Centre
1225,Andrew MCCULLAGH,0,Ind,87.0,East Centre
1226,Russell ROBERTSON,1,SNP,945.0,East Centre
1227,Maria WELLS,0,Con,950.0,East Centre
1228,Kenneth WHYTE,0,Grn,189.0,East Centre
1229,Gisela ALLEN,0,UKIP,106.0,Garscadden-Scotstounhill
1230,Bill BUTLER,1,Lab,2020.0,Garscadden-Scotstounhill
1231,Samuel COOK,0,Sol,62.0,Garscadden-Scotstounhill
1232,Michael CULLEN,1,SNP,1751.0,Garscadden-Scotstounhill
1233,Chris CUNNINGHAM,1,SNP,1221.0,Garscadden-Scotstounhill
1234,Gillian MACDONALD,0,Grn,439.0,Garscadden-Scotstounhill
1235,Eva MURRAY,1,Lab,912.0,Garscadden-Scotstounhill
1236,Tariq PARVEZ,0,Con,1060.0,Garscadden-Scotstounhill
1237,Roza SALIH,0,SNP,926.0,Garscadden-Scotstounhill
1238,David WALKER,0,SLD,191.0,Garscadden-Scotstounhill
1239,Richard BELL,1,SNP,1096.0,Govan
1240,William BONNAR,0,SSP,70.0,Govan
1241,Ben DENTON-CARDEW,0,SLD,142.0,Govan
1242,Stephen DORNAN,1,SNP,1110.0,Govan
1243,Liza FARRELL,0,Sol,44.0,Govan
1244,John KANE,1,Lab,1520.0,Govan
1245,Susan MCCOURT,0,Con,739.0,Govan
1246,Muhammad SHOAIB,0,Lab,527.0,Govan
1247,Pamela WILSON,0,SNP,627.0,Govan
1248,Allan YOUNG,1,Grn,604.0,Govan
1249,Saqib AHMED,1,Lab,2213.0,Greater Pollok
1250,Seonad HOY,0,Grn,200.0,Greater Pollok
1251,Rashid HUSSAIN,1,Lab,1039.0,Greater Pollok
1252,George LAIRD,0,Ind,163.0,Greater Pollok
1253,David MCDONALD,1,SNP,2643.0,Greater Pollok
1254,Mark MCGOWAN,0,TUSC,77.0,Greater Pollok
1255,Will MILLINSHIP,0,SLD,131.0,Greater Pollok
1256,Rory O'BRIEN,0,Con,1188.0,Greater Pollok
1257,Rhiannon SPEAR,1,SNP,812.0,Greater Pollok
1258,Dean WARD,0,Ind,54.0,Greater Pollok
1259,Ken ANDREW,1,SNP,1508.0,Hillhead
1260,Matthew CLARK,0,SLD,298.0,Hillhead
1261,Hanzala MALIK,1,Lab,1457.0,Hillhead
1262,Martyn MCINTYRE,0,Con,680.0,Hillhead
1263,Antony SAMMEROFF,0,SLP,26.0,Hillhead
1264,Douglas TIMMINS,0,Ind,34.0,Hillhead
