,Candidate,Elected,Party,Votes,Ward
124,Ann THORPE,0,Lab,179.0,East Garioch
125,Isobel DAVIDSON,1,SLD,1087.0,Ellon and District
126,Anouk KAHANOV-KLOPPERT,1,SNP,768.0,Ellon and District
127,John P MORGAN,0,Lab,415.0,Ellon and District
128,Gillian OWEN,1,Con,2258.0,Ellon and District
129,Richard Gordon THOMSON,1,SNP,987.0,Ellon and District
130,Ann BELL,0,SLD,262.0,Fraserburgh and District
131,Charles Cummin BUCHAN,1,SNP,614.0,Fraserburgh and District
132,David DONN,0,SNP,256.0,Fraserburgh and District
133,Andy KILLE,1,Con,1229.0,Fraserburgh and District
134,Doreen MAIR,1,Ind,743.0,Fraserburgh and District
135,Charlie REID,0,Ind,252.0,Fraserburgh and District
136,Ian TAIT,0,Ind,496.0,Fraserburgh and District
137,Brian Anderson TOPPING,1,SNP,652.0,Fraserburgh and District
138,KENNETH DUNCAN WATT,0,Lab,267.0,Fraserburgh and District
139,MICHAEL WATT,0,Ind,329.0,Fraserburgh and District
140,Bryan Scott BEGG,0,Lab,294.0,Huntly Strathbogie and Howe of Alford
141,Moira INGLEBY,1,Con,1741.0,Huntly Strathbogie and Howe of Alford
142,John LATHAM,1,SLD,995.0,Huntly Strathbogie and Howe of Alford
143,Kate MONAHAN,0,SNP,589.0,Huntly Strathbogie and Howe of Alford
144,Gwyneth Elaine PETRIE,1,SNP,895.0,Huntly Strathbogie and Howe of Alford
145,Robbie WITHEY,1,Con,1159.0,Huntly Strathbogie and Howe of Alford
146,Neil BAILLIE,1,SNP,1085.0,Inverurie and District
147,Colin CLARK,1,Con,1732.0,Inverurie and District
148,Marion EWENSON,1,SLD,568.0,Inverurie and District
149,Sarah FLAVELL,0,Lab,206.0,Inverurie and District
150,Bryan STUART,0,SNP,245.0,Inverurie and District
151,Judy Margaret WHYTE,1,Ind,982.0,Inverurie and District
152,Karen ALLAN,0,Grn,233.0,Mearns
153,George CARR,1,Con,2034.0,Mearns
154,Patrick COFFIELD,0,Lab,220.0,Mearns
155,Bill HOWATSON,1,SLD,599.0,Mearns
156,Jeff HUTCHISON,1,Con,461.0,Mearns
157,Dave STEWART,0,Ind,472.0,Mearns
158,Leigh WILSON,1,SNP,901.0,Mearns
159,Carole WISE,0,SNP,700.0,Mearns
160,Karen ADAM,1,SNP,1038.0,Mid Formartine
161,Jim GIFFORD,1,Con,1797.0,Mid Formartine
162,Jeff GOODHALL,0,Ind,249.0,Mid Formartine
163,Andrew John HASSAN,1,SLD,491.0,Mid Formartine
164,Paul JOHNSTON,1,Ind,1070.0,Mid Formartine
165,Kirsten MUAT,0,Lab,245.0,Mid Formartine
166,Cryle SHAND,0,SNP,302.0,Mid Formartine
167,William Patrick BALL,0,Grn,180.0,North Kincardine
168,Alastair BEWS,1,SNP,1138.0,North Kincardine
169,Alison Elizabeth McBean EVISON,1,Lab,901.0,North Kincardine
170,David Michael LANSDELL,0,SDPS,48.0,North Kincardine
171,Ian James MOLLISON,1,SLD,1221.0,North Kincardine
172,Colin PIKE,1,Con,1685.0,North Kincardine
173,Kes SMITH,0,SNP,358.0,North Kincardine
174,Anne Margaret ALLAN,1,SNP,1012.0,Peterhead North and Rattray
175,Dianne BEAGRIE,1,Con,1899.0,Peterhead North and Rattray
176,Alan S BUCHAN,1,Ind,587.0,Peterhead North and Rattray
177,Alistair MASSEY,0,SLD,105.0,Peterhead North and Rattray
178,Fiona MCRAE,0,SNP,549.0,Peterhead North and Rattray
179,Iain SUTHERLAND,1,Ind,443.0,Peterhead North and Rattray
180,Stephen William CALDER,1,Ind,517.0,Peterhead South and Cruden
181,Sam COULL,0,Ind,273.0,Peterhead South and Cruden
182,Alan FAKLEY,1,Con,1364.0,Peterhead South and Cruden
183,Stuart Wallace PRATT,0,SNP,559.0,Peterhead South and Cruden
184,Colin Alexander SIMPSON,0,SLD,187.0,Peterhead South and Cruden
185,Stephen William SMITH,1,SNP,787.0,Peterhead South and Cruden
186,Wendy AGNEW,1,Con,1703.0,Stonehaven and Lower Deeside
187,Philip BISHOP,0,Ind,193.0,Stonehaven and Lower Deeside
188,Raymond James CHRISTIE,0,Lab,351.0,Stonehaven and Lower Deeside
189,Sarah DICKINSON,1,SLD,944.0,Stonehaven and Lower Deeside
190,Dennis ROBERTSON,1,SNP,1300.0,Stonehaven and Lower Deeside
191,Rachel SHANKS,0,Grn,212.0,Stonehaven and Lower Deeside
192,Sandy WALLACE,1,Con,820.0,Stonehaven and Lower Deeside
193,Ross Alexander CASSIE,1,SNP,707.0,Troup
194,Mark FINDLATER,1,Con,1535.0,Troup
